Context,Utterance,Paraphrase
Throw him out in the rain.,Come on! We'll fight!,"Let's not resort to violence, perhaps we can find a more peaceful solution."
,You got me into this.,I find myself in this situation because of your actions.
I am the Ghost of Christmas Present.,Look upon me!,Please take a moment to observe me.
,What a guy!,He is quite impressive!
Even better.,You know what? What?,"Excuse me, may I share something with you?"
Even better. [SEP] You know what? What?,We are in trouble.,We may be facing some difficulties.
Gauze.,Scissors.,May I please have a pair of scissors?
"""No good, keen Hungarian.""",Why not save strength?,Would it be possible to conserve your energy?
"""No good, keen Hungarian. [SEP] Why not save strength? [SEP] Shoveling for these?""",You're Jews too after all.,"We are all part of the same community, aren't we?"
I didn't drag you here.,My brain had stopped working!,"I apologize, my mind was not functioning properly."
,What's wrong with me?,Could you please tell me if there is anything I can improve about myself?
Never try to milk a caribou.,Uhh!,"Oh dear, that may not be a wise decision."
,Peter said get out of here!,Peter politely requested that the person leave the premises.
,Get moving!,Please start moving.
Get moving!,Step it up!,Please increase your pace.
I do not know what you cook... but it will not work.,He who has emptied your tank!,"I apologize, but I am unsure of the dish you are preparing and I do not believe it will be successful."
I do not know what you cook... but it will not work. [SEP] He who has emptied your tank!,"""And you, you little bitch Where is my finger?""","Excuse me, may I ask where my finger is?"
,So I'm just a baby?,Am I considered to be very young?
So I'm just a baby?,One hell of a baby!,You are quite a remarkable young individual.
,"""Sleep with angels, my darling.""","May you rest peacefully, my beloved."
Why aren't you asleep?,Go to your room.,"Would you mind going to your room, please?"
"""Why aren't you asleep? [SEP] Go to your room. [SEP] No, please, let her stay.""","""Fine, but be quiet.""","Okay, but please try to keep your voice down."
,You trying to kill me?,Are you attempting to harm me?
"""Any injuries? [SEP] Nothing noticeable, sir.""",Are you trying to tell me that none of that blood is hers?,"Excuse me, may I ask if there were any injuries sustained? And if so, were there any visible signs of harm?"
,A man with less of a purpose.,A gentleman who may not have a clear sense of direction.
,Shoot him!,Take action against him.
There's something you don't know.,"""Yeah, what's that?""",May I ask what that might be?
You see anything?,Nuh-uh.,"I'm sorry, I didn't catch that."
,So this is it for us?,Is this the end of our journey together?
So this is it for us? [SEP] I really feel like we should end it better than this.,"""Actually, John, given how stupid both of us have been, this is an entirely appropriate ending.""","John, considering our mistakes, I believe it would be more fitting for us to conclude things in a more satisfactory manner."
,Now do you understand?,Do you comprehend now?
Hurry up. Come on.,The cuffs!,Could you please hand me the handcuffs?
Sorry I forgot to say good-bye.,Where's the necklace?,"Excuse me, may I ask about the location of the necklace?"
,I'll kill her!,I am feeling very frustrated with her at the moment.
,Let's get him!,Shall we go after him?
Let's get him! [SEP] There it is again!,What the hell,What on earth is happening?
,Why do you need lighter fluid?,May I ask what purpose you have for lighter fluid?
,"""Get your motherfucking hands off me, man. I ain't done nothing!""","Please remove your hands from me, sir. I have not committed any wrongdoing."
,Percy's trying to kill us.,Percy seems to have harmful intentions towards us.
,When did you start talking like an adult?,At what point did you begin to speak in a more mature manner?
,He calls you madam?,Does he address you as madam?
,"""Damn, where's the necklace?""","Oh dear, I seem to have misplaced the necklace."
"""Damn, where's the necklace?""","""I lost it again, damn it!""","Oh no, I seem to have misplaced it once more."
,Isn't this lovely?,Isn't this beautiful?
,Just lock it.,Could you please lock it?
,Arsehole!,"I'm sorry, but I strongly disagree with your actions."
,"""Dowd. Now, what do I hate?""","Excuse me, may I ask what I have expressed a dislike towards, Dowd?"
"""Dowd. Now, what do I hate?""",Boring places.,I tend to find uninteresting locations to be less enjoyable.
,Wait here for me.,Could you please wait for me here?
,"""This, uh, picture on your bookshelf... where is it?""","Excuse me, may I inquire about the location of the picture on your bookshelf?"
Enjoy your stay!,Scumbag!,I hope you have a pleasant time here.
Enjoy your stay! [SEP] Scumbag!,"""Tuck her in, boys!""","Please make sure she is comfortable, gentlemen."
Have you seen Christine?,I've just been pissed on by a blind independent movie director.,"I apologize, but I have had a rather unpleasant encounter with a director of an independent film who is visually impaired. However, I was wondering if you have happened to come across Christine?"
,Did not teach you how to launch a man in New York?,I apologize if I may have missed the opportunity to instruct you on how to initiate a person's journey in New York.
Want some noodles?,"""Yes, but don't overcook them.""","Certainly, I would appreciate some noodles, but please ensure they are not overcooked."
,AII right?,Is everything okay?
I can't hold back.,"""I said, silence!""",Could you please be quiet?
"""I can't hold back. [SEP] I said, silence!""",Keep going. Come here.,"Please continue, would you mind coming closer?"
Join the sailboat club? [SEP] I'll be busy studying.,Anyone who only studies won't make a good doctor.,Focusing solely on studying may not be the best approach for becoming a successful doctor.
Join the sailboat club? [SEP] I'll be busy studying. [SEP] Anyone who only studies won't make a good doctor. [SEP] Physical stamina is vital for doctors. [SEP] Well... No thank you.,Doctors need stamina!,It is important for doctors to have physical endurance.
How about an internship then? [SEP] A lot of young people are taking unpaid positions to get a foot in the door. [SEP] That's something I'd be willing to do.,I'm not hiring a fucking thief.,"I'm sorry, but I cannot consider hiring someone who has a history of theft."
,What is that? What?,Could you please tell me what that is?
What is that? What?,That?,Could you please tell me what that is?
What is that? What? [SEP] That?,You're scary. So scary.,You are quite intimidating. Very intimidating indeed.
,Your killer's a ground squirrel?,Is it possible that the culprit responsible for this is a ground squirrel?
Your killer's a ground squirrel?,"""In a way, I'd argue self-defense.""","I believe that the ground squirrel posed a threat to me, and I acted in a manner to protect myself."
,Two bullets in each weapon. Two bullets.,Each weapon is loaded with a pair of bullets.
Two bullets in each weapon. Two bullets.,"""Players, you stop bullets in the cylinders.""","Dear players, please note that there are two bullets in each cylinder of your weapons."
,What's he writing?,May I inquire as to what he is currently writing?
What's he writing?,Is this fucking amusing to you?,Is this entertaining to you?
What's he writing? [SEP] Is this fucking amusing to you?,It's not mine. It's company property.,"This belongs to the company, not to me."
,Do you think she gets stoned?,Do you believe she uses marijuana?
"""Do you think she gets stoned? [SEP] Well, she's Spanish.""",Worth a pull?,Do you think it would be appropriate to try it out?
"""Do you think she gets stoned? [SEP] Well, she's Spanish. [SEP] Worth a pull?""","""After you, pal.""","""Please go ahead, my friend."""
,Wallace!,"Excuse me, Wallace?"
Check the locks.,Twice.,Could you please check the locks again?
It's disconnected.,Shit!,Oh no!
,Where are you taking us?,May I kindly inquire as to our destination?
